"","word","word_count","word_count_norm","on_cdi"
"1","you",340268,44916.1857489967,1
"2","the",249011,32870.0445811637,1
"3","a",168620,22258.2412715736,1
"4","it",157215,20752.7541306515,1
"5","I",146217,19300.991958283,1
"6","to",124012,16369.8791161807,1
"7","what",123219,16265.2012290478,1
"8","that",122519,16172.7995632305,1
"9","and",119627,15791.0486810256,1
"10","is",96682,12762.2540779165,1
"11","xxx",96052,12679.092578681,0
"12","do",86842,11463.3506612857,1
"13","inside",80570,10635.4317355633,1
"14","this",76526,10101.6141118992,1
"15","oh",76009,10033.3688815742,0
"16","okay",72549,9576.6406476776,0
"17","on",69677,9197.52981306747,1
"18","your",64288,8486.16898865453,1
"19","no",60836,8030.49677379584,1
"20","that's",58489,7720.68718854864,0
"21","yeah",56140,7410.61359854195,0
"22","don't",54124,7144.49680098833,1
"23","gonna",53104,7009.85437365465,1
"24","here",52617,6945.5692147218,1
"25","there",52170,6886.56415097851,1
"26","we",50749,6698.98876936953,1
"27","one",50741,6697.93275033162,0
"28","go",50700,6692.52065276233,1
"29","can",50448,6659.25605306812,1
"30","are",50335,6644.33978415763,1
"31","he",49689,6559.0662468463,1
"32","see",47616,6285.42531364755,1
"33","like",44971,5936.27901923816,1
"34","of",44701,5900.63837670866,1
"35","me",42549,5616.56925551054,1
"36","right",41769,5513.60739931419,0
"37","it's",41624,5494.46705425205,0
"38","want",41004,5412.62557881394,0
"39","have",40751,5379.22897673999,1
"40","get",38230,5046.45097741822,1
"41","know",38015,5018.07046577436,0
"42","put",37241,4915.90062385645,1
"43","did",37066,4892.80020740214,1
"44","up",36206,4779.27816082668,1
"45","for",35817,4727.92923510825,1
"46","with",35065,4628.6634455446,1
"47","not",32462,4285.06125108423,1
"48","look",31906,4211.6679279494,1
"49","what's",31601,4171.40720212904,0
"50","now",29966,3955.58331125594,1
"51","they",29617,3909.51448072706,1
"52","was",29609,3908.45846168915,1
"53","all",28817,3803.91257693594,1
"54","good",28349,3742.13546321813,1
"55","you're",28208,3723.52312767495,0
"56","at",27707,3657.38993542576,1
"57","I'm",26394,3484.07081082858,0
"58","little",26300,3471.66258713312,1
"59","so",26298,3471.39858237364,1
"60","how",26177,3455.42629442524,1
"61","come",26135,3449.8821944762,0
"62","think",25534,3370.54876425312,1
"63","my",25368,3348.63636921646,1
"64","she",25230,3330.4200408125,1
"65","some",24979,3297.28744349803,1
"66","just",24855,3280.91914841041,0
"67","be",24481,3231.55025838806,1
"68","mommy",23872,3151.16080912707,1
"69","well",23393,3087.93166923213,0
"70","them",22330,2947.61313956968,1
"71","where",22196,2929.92482068467,1
"72","out",21639,2856.3994951701,1
"73","but",20430,2696.80861806577,1
"74","down",20104,2653.77584227088,1
"75","let's",19945,2632.7874638924,0
"76","yes",19797,2613.25111169104,1
"77","say",19045,2513.98532212739,1
"78","got",19036,2512.79730070974,0
"79","wanna",19019,2510.55326025418,1
"80","huh",18418,2431.2198300311,0
"81","if",18300,2415.64354922191,1
"82","about",18177,2399.40725651402,1
"83","then",17578,2320.33783105042,1
"84","too",17304,2284.16917900196,1
"85","her",16667,2200.08366310828,1
"86","when",16259,2146.22669217481,1
"87","why",16219,2140.94659698525,1
"88","over",16052,2118.90219956885,1
"89","back",15879,2096.06578787402,1
"90","does",15865,2094.21775455768,1
"91","his",15216,2008.54821010713,1
"92","more",15122,1996.13998641167,1
"93","him",15062,1988.21984362734,1
"94","I'll",14939,1971.98355091946,0
"95","because",14791,1952.4471987181,1
"96","there's",14787,1951.91918919914,0
"97","make",14576,1924.06668707423,1
"98","take",14336,1892.3861159369,1
"99","play",13999,1847.90131396489,1
"100","hafta",13984,1845.9212782688,1
"101","big",13846,1827.70494986484,1
"102","he's",13844,1827.44094510536,0
"103","eat",13833,1825.98891892823,1
"104","who",13758,1816.08874044781,1
"105","lemme",13311,1757.08367670452,1
"106","doing",13243,1748.10751488228,0
"107","mhm",12965,1711.41085331486,0
"108","would",12965,1711.41085331486,1
"109","hmm",12878,1699.92664627758,0
"110","baby",12807,1690.55447731612,1
"111","or",12701,1676.56222506379,0
"112","very",12651,1669.96210607685,0
"113","two",12382,1634.45346592708,0
"114","off",12144,1603.03689954923,1
"115","said",11981,1581.52051165178,0
"116","these",11773,1554.06401666609,1
"117","alright",11384,1502.71509094766,0
"118","daddy",11146,1471.2985245698,1
"119","those",11136,1469.97850077241,1
"120","tell",11108,1466.28243413972,0
"121","can't",11057,1459.55031277304,0
"122","where's",11034,1456.51425803904,0
"123","didn't",10719,1414.93350842129,0
"124","something",10324,1362.79256842442,0
"125","uh",10265,1355.00442801983,0
"126","book",10163,1341.54018528646,1
"127","need",10042,1325.56789733805,1
"128","time",9707,1281.34710012552,1
"129","um",9638,1272.23893592354,0
"130","were",9550,1260.62272650651,1
"131","other",9412,1242.40639810254,1
"132","give",9118,1203.59769845931,1
"133","could",9103,1201.61766276322,1
"134","way",9095,1200.56164372531,0
"135","will",8964,1183.26933197952,1
"136","really",8912,1176.40520823309,0
"137","had",8790,1160.30091790495,0
"138","hey",8782,1159.24489886704,0
"139","sit",8761,1156.47284889252,1
"140","has",8612,1136.80449431142,0
"141","they're",8587,1133.50443481795,0
"142","we're",8512,1123.60425633753,0
"143","else",8427,1112.38405405973,0
"144","nice",8417,1111.06403026234,1
"145","here's",8095,1068.55926398641,0
"146","child's own name",7847,1035.82267381116,1
"147","another",7843,1035.29466429221,1
"148","mm",7840,1034.89865715299,0
"149","boy",7820,1032.25860955821,1
"150","an",7702,1016.68232874902,1
"151","uhhuh",7665,1011.79824069868,0
"152","turn",7571,999.390017003226,0
"153","doesn't",7553,997.013974167926,0
"154","we'll",7511,991.469874218892,0
"155","house",7436,981.569695738475,1
"156","read",7384,974.705571992052,1
"157","ah",7274,960.185310220773,0
"158","goes",7208,951.473153158005,0
"159","again",7188,948.833105563227,0
"160","wait",7103,937.61290328542,1
"161","maybe",7061,932.068803336387,0
"162","remember",7050,930.616777159259,0
"163","who's",7009,925.204679589964,0
"164","car",7004,924.544667691269,1
"165","she's",6922,913.720472552679,0
"166","should",6916,912.928458274246,0
"167","from",6910,912.136443995812,0
"168","any",6609,872.403727694403,1
"169","hi",6570,867.255634884586,1
"170","around",6434,849.303311240095,1
"171","thing",6298,831.350987595604,0
"172","three",6264,826.862906684482,0
"173","try",6258,826.070892406048,1
"174","away",6244,824.222859089704,1
"175","went",6220,821.05480197597,0
"176","kind",6201,818.546756760931,0
"177","name",6199,818.282752001453,0
"178","honey",6142,810.758616356336,0
"179","please",6101,805.346518787041,1
"180","today",6063,800.330428356962,1
"181","help",6041,797.426376002707,1
"182","thanks",5918,781.190083294822,1
"183","water",5874,775.38197858631,1
"184","things",5787,763.897771549025,0
"185","ball",5774,762.18174061242,1
"186","find",5736,757.165650182341,1
"187","Chi",5708,753.469583549652,0
"188","pretty",5708,753.469583549652,1
"189","first",5681,749.905519296702,1
"190","better",5622,742.117378892107,1
"191","sure",5469,721.921014792055,0
"192","mean",5466,721.525007652838,0
"193","ready",5407,713.736867248243,0
"194","watch",5337,704.49670066652,1
"195","show",5313,701.328643552786,1
"196","girl",5256,693.804507907669,1
"197","school",5254,693.540503148191,1
"198","isn't",5250,693.012493629235,0
"199","much",5113,674.928167605006,1
"200","gotta",5083,670.968096212839,1
"201","looks",5052,666.876022440933,0
"202","home",4999,659.879896314771,1
"203","lot",4992,658.955879656598,1
"204","as",4979,657.239848719993,0
"205","still",4868,642.587584568975,0
"206","hold",4810,634.931446544118,1
"207","red",4738,625.427275202917,1
"208","open",4736,625.16327044344,1
"209","by",4678,617.507132418583,1
"210","day",4660,615.131089583283,1
"211","wow",4624,610.379003912682,0
"212","hear",4615,609.190982495032,1
"213","us",4599,607.07894441921,1
